Paper	Area	Lat domain	LAT	LONG	Water depth	Stations/Facies	Molluscs	Symbiont bearing colonial corals	RCA	Foraminifera	Halimeda	Echinoderms	Sessile benthic filter feeders (Non symbiont bearing corals+Sponges+Bryozoans+Serpulids+Crinoids+Barnacles+Brachiopods)	Mobile Arthropoda (Ostracod+Artropods+Decapods)	Bioclasts 	Non Skelatel	Total	Molluscs	Symbiont bearing colonial corals	RCA	Foraminifera	Halimeda	Echinoderms	Sessile benthic filter feeders (Non symbiont bearing corals+Sponges+Bryozoans+Serpulids+Crinoids+Barnacles+Brachiopods)	Mobile Arthropoda (Ostracod+Artropods+Decapods)	Bioclasts 	Non Skelatel	
Heterozoan carbonates from the equatorial rocky reefs of the Galàpagos Archipelago Reymond 2016	Galapagos	Tropic	-0.500	-91.200	10.5	Elizabeth	15.8	0.2	3.7	0	0	9.9	53.7	0	2.6	0	85.9	18.3934807916182	0.232828870779977	4.30733410942957	0	0	11.5250291036088	62.5145518044238	0	3.0267753201397	0	100
Carbonate facies patterns in surface sediments of upwelling and non-upwelling shelf environments (Panama, East Pacific) Reijmer 2012	Golfo di Panama	Tropic	8.400	-79.400	68.0	Golfo di Panama	30	0.1	1.6	3.1	0	3.3	14.4	0.4	1.7	0	54.6	54.9450549450549	0.183150183150183	2.93040293040293	5.67765567765568	0	6.04395604395604	26.3736263736264	0.732600732600733	3.11355311355311	0	100
Carbonate facies patterns in surface sediments of upwelling and non-upwelling shelf environments (Panama, East Pacific) Reijmer 2012	Golfo di Chiriquì	Tropic	7.700	-81.700	97.0	Golfo di Chiriquì	31.6	3.7	3.9	2.6	0	3.8	8.5	0.8	4.3	0	59.2	53.3783783783784	6.25	6.58783783783784	4.39189189189189	0	6.41891891891892	14.3581081081081	1.35135135135135	7.26351351351351	0	100
Modern heterozoan carbonates from a eutrophic tropical shelf (Mauritania) Michel 2011	Mauritania	Tropic	19.850	-17.206	40.0	11511B	41.9	0	0	32.5	0	4.9	6.2	3.6	0.1	0.8	90	46.5555555555556	0	0	36.1111111111111	0	5.44444444444444	6.88888888888889	4	0.111111111111111	0.888888888888889	100
Modern heterozoan carbonates from a eutrophic tropical shelf (Mauritania) Michel 2011	Mauritania	Tropic	19.928	-17.214	40.0	11511C	52.2	0	0	10	0	6.6	7	1.1	5.7	0.8	83.4	62.589928057554	0	0	11.9904076738609	0	7.9136690647482	8.39328537170264	1.3189448441247	6.83453237410072	0.959232613908873	100
Modern heterozoan carbonates from a eutrophic tropical shelf (Mauritania) Michel 2011	Mauritania	Tropic	20.003	-17.264	40.0	11511D	36.2	0	0	25.7	0	6.1	5.7	3.7	12.5	2.3	92.2	39.2624728850325	0	0	27.8741865509761	0	6.61605206073753	6.1822125813449	4.01301518438178	13.5574837310195	2.49457700650759	100
Modern heterozoan carbonates from a eutrophic tropical shelf (Mauritania) Michel 2011	Mauritania	Tropic	20.053	-17.325	40.0	11511E	34.1	0	0	44.7	0	0.3	0.5	2.1	1.7	4.9	88.3	38.6183465458664	0	0	50.6228765571914	0	0.339750849377124	0.566251415628539	2.37825594563986	1.92525481313703	5.54926387315968	100
Modern heterozoan carbonates from a eutrophic tropical shelf (Mauritania) Michel 2011	Mauritania	Tropic	20.112	-17.363	40.0	11511F	53.7	0	0	25.2	0	0.3	1.4	4.2	1.2	1.6	87.6	61.3013698630137	0	0	28.7671232876712	0	0.342465753424658	1.59817351598174	4.79452054794521	1.36986301369863	1.82648401826484	100
Modern heterozoan carbonates from a eutrophic tropical shelf (Mauritania) Michel 2011	Mauritania	Tropic	20.157	-17.388	40.0	11511G	51.1	0	0	15.2	0	5.5	4.8	0.4	5.8	1.1	83.9	60.9058402860548	0	0	18.1168057210965	0	6.5554231227652	5.72109654350417	0.476758045292014	6.91299165673421	1.31108462455304	100
Modern heterozoan carbonates from a eutrophic tropical shelf (Mauritania) Michel 2011	Mauritania	Tropic	20.568	-17.211	40.0	11513	65.7	0	0	11.2	0	13.5	1.8	0.3	3.8	0.4	96.7	67.94208893485	0	0	11.5822130299897	0	13.9607032057911	1.86142709410548	0.31023784901758	3.92967942088935	0.413650465356773	100
Modern heterozoan carbonates from a eutrophic tropical shelf (Mauritania) Michel 2011	Mauritania	Tropic	20.552	-17.307	40.0	11514	47.8	0	0	1.9	0	0.3	4.9	0.3	0.2	0.3	55.7	85.8168761220826	0	0	3.41113105924596	0	0.538599640933573	8.79712746858169	0.538599640933573	0.359066427289048	0.538599640933573	100
